file,vehicle_found,vehicle_type,vehicle_type_ru,type_confidence,manufacturer,manufacturer_confidence,manufacturer_source,model,plate_number,plate_confidence,plate_crop_file,bbox
1.jpg,True,dump_truck,Самосвал,0.9,KAMAZ,0.9,gpt,,160ALV10,0.935,160ALV10_1.jpg,"[496.3, 316.8, 1820.6, 1285.2]"
2.jpg,True,dump_truck,Самосвал,0.9,ГАЗ,0.9,gpt,ГАЗ-53,81S10,0.695,81S10_2.jpg,"[2130.3, 159.9, 2416.1, 439.4]"
3.jpg,True,dump_truck,Самосвал,0.9,KAMAZ,0.9,gpt,,592LBA10,0.825,592LBA10_3.jpg,"[1014.5, 146.4, 2355.3, 1098.0]"
4.jpg,True,dump_truck,Самосвал,0.8,,0.0,unknown,,PAAH1098,0.805,PAAH1098_4.jpg,"[385.2, 214.8, 1341.7, 1000.1]"
5.jpg,True,tractor,Трактор,0.8,Кировец,0.8,gpt,К-700,,,,"[240.9, 261.5, 988.6, 914.0]"
6.jpg,True,tractor,Трактор,0.8,Lovol,0.8,gpt,LS-20,,,,"[788.7, 215.9, 1158.7, 627.6]"
7.jpg,True,tractor,Трактор,0.9,Беларусь,0.9,gpt,920,,,unknown_7.jpg,"[248.0, 101.8, 1142.0, 946.3]"
8.jpg,True,flatbed_grain_truck,Бортовой/зерновоз,0.85,,0.0,unknown,,597AQ10,0.914,597AQ10_8.jpg,"[1758.7, 184.2, 2280.9, 574.4]"
9.jpg,True,dump_truck,Самосвал,0.8,,0.0,unknown,,AFEP523,0.973,AFEP523_9.jpg,"[401.1, 174.9, 1472.9, 850.1]"
10.jpg,True,dump_truck,Самосвал,0.8,МАЗ,0.8,gpt,,124AIX10,0.913,124AIX10_10.jpg,"[1597.7, 327.6, 2225.3, 910.1]"
11.jpg,True,dump_truck,Самосвал,0.8,ГАЗ,0.8,gpt,ГАЗ-66,,,unknown_11.jpg,"[1997.7, 292.3, 2379.0, 588.6]"
12.jpg,True,dump_truck,Самосвал,0.8,MAN,0.8,gpt,,153AJX10,0.923,153AJX10_12.jpg,"[999.0, 123.7, 2061.0, 1110.6]"
13.jpg,True,dump_truck,Самосвал,0.8,,0.0,unknown,,691AS110,0.703,691AS110_13.jpg,"[303.9, 445.4, 611.7, 703.8]"
14.jpg,True,dump_truck,Самосвал,0.9,,0.0,unknown,,,,unknown_14.jpg,"[123.3, 367.5, 560.8, 780.8]"
15.jpg,True,tractor,Трактор,0.8,,0.0,unknown,,,,,"[210.7, 87.7, 903.4, 722.5]"
16.jpg,True,tractor,Трактор,0.9,,0.0,unknown,,,,,"[1476.5, 142.5, 2174.6, 679.5]"
17.jpg,True,dump_truck,Самосвал,0.9,,0.0,unknown,,45EUA10,0.942,45EUA10_17.jpg,"[1253.1, 129.5, 2381.8, 1058.7]"
18.jpg,True,dump_truck,Самосвал,0.8,MAZ,0.8,gpt,,041AHF10,0.926,041AHF10_18.jpg,"[1409.2, 6.1, 2358.4, 746.7]"
19.jpg,True,dump_truck,Самосвал,0.8,КамАЗ,0.8,gpt,,927DPA10,0.956,927DPA10_19.jpg,"[362.8, 227.5, 1476.7, 1147.4]"
20.jpg,True,dump_truck,Самосвал,0.8,ГАЗ,0.8,gpt,53,597AQ10,0.793,597AQ10_20.jpg,"[238.5, 342.7, 572.0, 654.7]"
21.jpg,True,dump_truck,Самосвал,0.8,,0.0,unknown,,,,,"[713.6, 48.6, 2172.3, 1176.5]"
22.jpg,True,dump_truck,Самосвал,0.8,,0.0,unknown,,49AKZ10,0.853,49AKZ10_22.jpg,"[982.8, 264.7, 2256.0, 1062.9]"
23.jpg,True,special_equipment,Спецтехника,0.0,,0.0,unknown,,,,unknown_23.jpg,"[1152.1, 59.7, 2008.7, 669.2]"
24.jpg,True,tractor,Трактор,0.9,,0.0,unknown,,,,,"[312.5, 557.3, 663.7, 865.4]"
25.jpg,True,dump_truck,Самосвал,0.9,KAMAZ,0.9,gpt,,384CBA10,0.916,384CBA10_25.jpg,"[880.5, 126.3, 2170.5, 949.7]"
hj.jpg,True,dump_truck,Самосвал,0.9,KAMAZ,0.9,gpt,,195NZA16,0.871,195NZA16_hj.jpg,"[31.4, 291.2, 348.2, 532.0]"
01c9cd9a-50e0-48da-b509-a5d8ba1283c7.jpg,True,dump_truck,Самосвал,0.9,GAZ,0.9,gpt,GAZ-51,736AQ19,0.927,736AQ19_01c9cd9a-50e0-48da-b509-a5d8ba1283c7.jpg,"[1853.2, 167.4, 2313.7, 564.4]"
41dfe6d5-2457-4251-af55-dd7f97af2bd9.jpg,True,dump_truck,Самосвал,0.8,KAMAZ,0.8,gpt,,193ALC10,0.958,193ALC10_41dfe6d5-2457-4251-af55-dd7f97af2bd9.jpg,"[464.1, 246.9, 1156.0, 910.3]"
